row,col,entryHex,tileIndex,palette,priority,hflip,vflip
0,0,0x0000,0,0,0,0,0
0,1,0x0000,0,0,0,0,0
0,2,0x0000,0,0,0,0,0
0,3,0x0000,0,0,0,0,0
0,4,0x0000,0,0,0,0,0
0,5,0x0000,0,0,0,0,0
0,6,0x0000,0,0,0,0,0
0,7,0x0000,0,0,0,0,0
0,8,0x0000,0,0,0,0,0
0,9,0x0000,0,0,0,0,0
0,10,0x0000,0,0,0,0,0
0,11,0x0000,0,0,0,0,0
0,12,0x0000,0,0,0,0,0
0,13,0x0000,0,0,0,0,0
0,14,0x0000,0,0,0,0,0
0,15,0x0000,0,0,0,0,0
0,16,0x0000,0,0,0,0,0
0,17,0x0000,0,0,0,0,0
0,18,0x0000,0,0,0,0,0
0,19,0x0000,0,0,0,0,0
0,20,0x0000,0,0,0,0,0
0,21,0x0000,0,0,0,0,0
0,22,0x0000,0,0,0,0,0
0,23,0x0000,0,0,0,0,0
0,24,0x0000,0,0,0,0,0
0,25,0x0000,0,0,0,0,0
0,26,0x0000,0,0,0,0,0
0,27,0x0000,0,0,0,0,0
0,28,0x0000,0,0,0,0,0
0,29,0x0000,0,0,0,0,0
0,30,0x0000,0,0,0,0,0
0,31,0x0000,0,0,0,0,0
0,32,0x0004,4,0,0,0,0
0,33,0x0005,5,0,0,0,0
0,34,0x0005,5,0,0,0,0
0,35,0x0149,329,0,0,0,0
0,36,0x014A,330,0,0,0,0
0,37,0x014B,331,0,0,0,0
0,38,0x014C,332,0,0,0,0
0,39,0x0116,278,0,0,0,0
0,40,0x014D,333,0,0,0,0
0,41,0x014E,334,0,0,0,0
0,42,0x014F,335,0,0,0,0
0,43,0x0150,336,0,0,0,0
0,44,0x00DE,222,0,0,0,0
0,45,0x0151,337,0,0,0,0
0,46,0x0152,338,0,0,0,0
0,47,0x0153,339,0,0,0,0
0,48,0x0154,340,0,0,0,0
0,49,0x0116,278,0,0,0,0
0,50,0x0155,341,0,0,0,0
0,51,0x0156,342,0,0,0,0
0,52,0x0157,343,0,0,0,0
0,53,0x0005,5,0,0,0,0
0,54,0x00E3,227,0,0,0,0
0,55,0x00E4,228,0,0,0,0
0,56,0x00E4,228,0,0,0,0
0,57,0x0158,344,0,0,0,0
0,58,0x0159,345,0,0,0,0
0,59,0x015A,346,0,0,0,0
0,60,0x015B,347,0,0,0,0
0,61,0x015C,348,0,0,0,0
0,62,0x0067,103,0,0,0,0
0,63,0x4004,4,0,0,1,0
1,0,0x0000,0,0,0,0,0
1,1,0x0000,0,0,0,0,0
1,2,0x0000,0,0,0,0,0
1,3,0x0000,0,0,0,0,0
1,4,0x0000,0,0,0,0,0
1,5,0x0000,0,0,0,0,0
1,6,0x0000,0,0,0,0,0
1,7,0x0000,0,0,0,0,0
1,8,0x0000,0,0,0,0,0
1,9,0x0000,0,0,0,0,0
1,10,0x0000,0,0,0,0,0
1,11,0x0000,0,0,0,0,0
1,12,0x0000,0,0,0,0,0
1,13,0x0000,0,0,0,0,0
1,14,0x0000,0,0,0,0,0
1,15,0x0000,0,0,0,0,0
1,16,0x0000,0,0,0,0,0
1,17,0x0000,0,0,0,0,0
1,18,0x0000,0,0,0,0,0
1,19,0x0000,0,0,0,0,0
1,20,0x0000,0,0,0,0,0
1,21,0x0000,0,0,0,0,0
1,22,0x0000,0,0,0,0,0
1,23,0x0000,0,0,0,0,0
1,24,0x0000,0,0,0,0,0
1,25,0x0000,0,0,0,0,0
1,26,0x0000,0,0,0,0,0
1,27,0x0000,0,0,0,0,0
1,28,0x0000,0,0,0,0,0
1,29,0x0000,0,0,0,0,0
1,30,0x0000,0,0,0,0,0
1,31,0x0000,0,0,0,0,0
1,32,0x0004,4,0,0,0,0
1,33,0x0005,5,0,0,0,0
1,34,0x0005,5,0,0,0,0
1,35,0x0005,5,0,0,0,0
1,36,0x0005,5,0,0,0,0
1,37,0x0005,5,0,0,0,0
1,38,0x0005,5,0,0,0,0
1,39,0x0005,5,0,0,0,0
1,40,0x015D,349,0,0,0,0
1,41,0x015E,350,0,0,0,0
1,42,0x015F,351,0,0,0,0
1,43,0x0160,352,0,0,0,0
1,44,0x0161,353,0,0,0,0
1,45,0x0162,354,0,0,0,0
1,46,0x0163,355,0,0,0,0
1,47,0x40EB,235,0,0,1,0
1,48,0x0164,356,0,0,0,0
1,49,0x0165,357,0,0,0,0
1,50,0x0166,358,0,0,0,0
1,51,0x0161,353,0,0,0,0
1,52,0x0167,359,0,0,0,0
1,53,0x0168,360,0,0,0,0
1,54,0x0169,361,0,0,0,0
1,55,0x016A,362,0,0,0,0
1,56,0x016A,362,0,0,0,0
1,57,0x016B,363,0,0,0,0
1,58,0x016C,364,0,0,0,0
1,59,0x016D,365,0,0,0,0
1,60,0x016E,366,0,0,0,0
1,61,0x016F,367,0,0,0,0
1,62,0x0170,368,0,0,0,0
1,63,0x4004,4,0,0,1,0
2,0,0x0000,0,0,0,0,0
2,1,0x0000,0,0,0,0,0
2,2,0x0000,0,0,0,0,0
2,3,0x0000,0,0,0,0,0
2,4,0x0000,0,0,0,0,0
2,5,0x0000,0,0,0,0,0
2,6,0x0000,0,0,0,0,0
2,7,0x0000,0,0,0,0,0
2,8,0x0000,0,0,0,0,0
2,9,0x0000,0,0,0,0,0
2,10,0x0000,0,0,0,0,0
2,11,0x0000,0,0,0,0,0
2,12,0x0000,0,0,0,0,0
2,13,0x0000,0,0,0,0,0
2,14,0x0000,0,0,0,0,0
2,15,0x0000,0,0,0,0,0
2,16,0x0000,0,0,0,0,0
2,17,0x0000,0,0,0,0,0
2,18,0x0000,0,0,0,0,0
2,19,0x0000,0,0,0,0,0
2,20,0x0000,0,0,0,0,0
2,21,0x0000,0,0,0,0,0
2,22,0x0000,0,0,0,0,0
2,23,0x0000,0,0,0,0,0
2,24,0x0000,0,0,0,0,0
2,25,0x0000,0,0,0,0,0
2,26,0x0000,0,0,0,0,0
2,27,0x0000,0,0,0,0,0
2,28,0x0000,0,0,0,0,0
2,29,0x0000,0,0,0,0,0
2,30,0x0000,0,0,0,0,0
2,31,0x0000,0,0,0,0,0
2,32,0x0004,4,0,0,0,0
2,33,0x0005,5,0,0,0,0
2,34,0x0005,5,0,0,0,0
2,35,0x0005,5,0,0,0,0
2,36,0x0005,5,0,0,0,0
2,37,0x0005,5,0,0,0,0
2,38,0x0005,5,0,0,0,0
2,39,0x0005,5,0,0,0,0
2,40,0x00FE,254,0,0,0,0
2,41,0x0171,369,0,0,0,0
2,42,0x0172,370,0,0,0,0
2,43,0x0173,371,0,0,0,0
2,44,0x0174,372,0,0,0,0
2,45,0x0175,373,0,0,0,0
2,46,0x0176,374,0,0,0,0
2,47,0x0177,375,0,0,0,0
2,48,0x0178,376,0,0,0,0
