row,col,entryHex,tileIndex,palette,priority,hflip,vflip
0,0,0x2801,1,2,1,0,0
0,1,0x2802,2,2,1,0,0
0,2,0x2803,3,2,1,0,0
0,3,0x2803,3,2,1,0,0
0,4,0x2804,4,2,1,0,0
0,5,0x2805,5,2,1,0,0
0,6,0x2805,5,2,1,0,0
0,7,0x2805,5,2,1,0,0
0,8,0x2805,5,2,1,0,0
0,9,0x2805,5,2,1,0,0
0,10,0x2805,5,2,1,0,0
0,11,0x2805,5,2,1,0,0
0,12,0x2805,5,2,1,0,0
0,13,0x2805,5,2,1,0,0
0,14,0x2806,6,2,1,0,0
0,15,0x2807,7,2,1,0,0
0,16,0x2808,8,2,1,0,0
0,17,0x2808,8,2,1,0,0
0,18,0x2808,8,2,1,0,0
0,19,0x2808,8,2,1,0,0
0,20,0x2808,8,2,1,0,0
0,21,0x2809,9,2,1,0,0
0,22,0x280A,10,2,1,0,0
0,23,0x280B,11,2,1,0,0
0,24,0x280B,11,2,1,0,0
0,25,0x280B,11,2,1,0,0
0,26,0x280B,11,2,1,0,0
0,27,0x280B,11,2,1,0,0
0,28,0x280B,11,2,1,0,0
0,29,0x680A,10,2,1,1,0
0,30,0x280C,12,2,1,0,0
0,31,0x2808,8,2,1,0,0
0,32,0x280D,13,2,1,0,0
0,33,0x280E,14,2,1,0,0
0,34,0x280E,14,2,1,0,0
0,35,0x280E,14,2,1,0,0
0,36,0x280F,15,2,1,0,0
0,37,0x2810,16,2,1,0,0
0,38,0x2811,17,2,1,0,0
0,39,0x2812,18,2,1,0,0
0,40,0x2813,19,2,1,0,0
0,41,0x2814,20,2,1,0,0
0,42,0x2815,21,2,1,0,0
0,43,0x2816,22,2,1,0,0
0,44,0x2817,23,2,1,0,0
0,45,0x2818,24,2,1,0,0
0,46,0x2819,25,2,1,0,0
0,47,0x281A,26,2,1,0,0
0,48,0x281B,27,2,1,0,0
0,49,0x281C,28,2,1,0,0
0,50,0x281D,29,2,1,0,0
0,51,0x281E,30,2,1,0,0
0,52,0x281E,30,2,1,0,0
0,53,0x281E,30,2,1,0,0
0,54,0x280E,14,2,1,0,0
0,55,0x280E,14,2,1,0,0
0,56,0x280E,14,2,1,0,0
0,57,0x280E,14,2,1,0,0
0,58,0x280D,13,2,1,0,0
0,59,0x280D,13,2,1,0,0
0,60,0x280D,13,2,1,0,0
0,61,0x280D,13,2,1,0,0
0,62,0x280D,13,2,1,0,0
0,63,0x280D,13,2,1,0,0
1,0,0x281F,31,2,1,0,0
1,1,0x2820,32,2,1,0,0
1,2,0x29C5,453,2,1,0,0
1,3,0x29C4,452,2,1,0,0
1,4,0x2821,33,2,1,0,0
1,5,0x281F,31,2,1,0,0
1,6,0x281F,31,2,1,0,0
1,7,0x281F,31,2,1,0,0
1,8,0x281F,31,2,1,0,0
1,9,0x281F,31,2,1,0,0
1,10,0x281F,31,2,1,0,0
1,11,0x281F,31,2,1,0,0
1,12,0x281F,31,2,1,0,0
1,13,0x281F,31,2,1,0,0
1,14,0x281F,31,2,1,0,0
1,15,0x281F,31,2,1,0,0
1,16,0x281F,31,2,1,0,0
1,17,0x281F,31,2,1,0,0
1,18,0x281F,31,2,1,0,0
1,19,0x281F,31,2,1,0,0
1,20,0x281F,31,2,1,0,0
1,21,0x2822,34,2,1,0,0
